split,day,underlying,protocol,opt,strike,lots,entry,stop,target,exit_price,action,entry_charge,exit_charge,net
train,2025-03-25,SENSEX,BETA,CE,78300.0,29,340.08,255.06,467.6,253.78,STOP,105.39,301.02,-50457.1
train,2025-03-25,FINNIFTY,BETA,CE,25050.0,25,196.59,147.44,270.31,146.71,STOP,112.16,305.34,-50302.72
train,2025-03-25,SENSEX,ALPHA,CE,77900.0,40,247.24,185.43,339.95,184.5,STOP,105.62,301.78,-50596.31
train,2025-03-25,NIFTY,GAMMA,PE,23800.0,18,140.58,105.44,193.3,192.33,TARGET,109.08,522.23,69232.56
train,2025-03-26,FINNIFTY,ALPHA,CE,24900.0,27,179.39,134.54,246.66,186.31,THESIS_BROKEN,110.87,410.03,6958.91
train,2025-03-26,BANKNIFTY,ALPHA,CE,51300.0,36,370.26,277.69,509.11,356.41,THESIS_BROKEN,113.66,393.2,-7986.4
train,2025-03-26,NIFTY,ALPHA,CE,23400.0,16,161.48,121.11,222.03,220.92,TARGET,110.88,532.73,70690.18
train,2025-03-26,BANKNIFTY,BETA,CE,51000.0,37,355.92,266.94,489.38,353.77,THESIS_BROKEN,112.59,400.67,-1703.04
train,2025-03-27,FINNIFTY,ALPHA,PE,25100.0,50,99.13,74.35,136.31,98.95,THESIS_BROKEN,112.91,403.67,-875.08
train,2025-03-28,NIFTY,ALPHA,PE,23700.0,16,161.66,121.24,222.28,221.17,TARGET,110.97,533.29,70767.28
train,2025-03-28,NIFTY,ALPHA,CE,23400.0,13,196.24,147.18,269.83,192.23,THESIS_BROKEN,109.78,383.55,-4399.18
train,2025-03-28,NIFTY,GAMMA,PE,23600.0,16,162.1,121.57,222.88,159.85,THESIS_BROKEN,111.22,391.96,-3202.28
train,2025-03-28,SENSEX,BETA,CE,77300.0,27,358.91,269.18,493.5,321.53,THESIS_BROKEN,103.96,350.83,-20636.62
train,2025-04-01,SENSEX,ALPHA,CE,75900.0,47,209.26,156.95,287.74,156.16,STOP,105.17,300.26,-50320.13
train,2025-04-03,NIFTY,ALPHA,PE,23400.0,24,107.05,80.29,147.2,146.46,TARGET,110.39,529.88,70295.06
train,2025-04-03,NIFTY,ALPHA,PE,23400.0,24,110.88,83.16,152.46,151.7,TARGET,113.5,547.98,72810.38
train,2025-04-03,NIFTY,ALPHA,CE,23150.0,28,95.04,71.28,130.68,130.03,TARGET,113.5,547.98,72810.38
train,2025-04-08,SENSEX,BETA,CE,74300.0,32,311.26,233.44,427.98,425.84,TARGET,106.21,537.23,72688.47
train,2025-04-15,NIFTY,ALPHA,CE,23200.0,16,160.56,120.42,220.76,219.66,TARGET,110.38,529.82,70285.41
train,2025-04-15,SENSEX,ALPHA,CE,76600.0,57,174.2,130.65,239.52,129.99,STOP,105.95,302.9,-50799.4
train,2025-04-22,BANKEX,BETA,CE,63700.0,10,614.64,460.98,845.12,744.46,THESIS_BROKEN,100.06,444.52,38402.32
train,2025-04-21,NIFTY,ALPHA,PE,24300.0,15,171.29,128.47,235.53,200.0,THESIS_BROKEN,110.39,455.68,31724.81
train,2025-04-21,SENSEX,BETA,CE,79300.0,25,384.69,288.52,528.95,428.45,THESIS_BROKEN,103.36,427.34,21346.8
train,2025-04-21,SENSEX,GAMMA,PE,79700.0,26,375.36,281.52,516.13,513.54,TARGET,104.55,526.9,71222.6
train,2025-04-22,NIFTY,ALPHA,PE,24300.0,16,162.45,121.84,223.37,222.25,TARGET,111.4,535.77,71114.23
train,2025-04-22,NIFTY,ALPHA,PE,24300.0,18,142.65,106.99,196.14,195.16,TARGET,110.34,529.57,70251.69
train,2025-04-22,NIFTY,ALPHA,PE,24300.0,18,146.12,109.59,200.92,178.95,THESIS_BROKEN,112.46,487.55,43716.1
