split,day,underlying,protocol,opt,strike,lots,entry,stop,target,exit_price,action,entry_charge,exit_charge,net
train,2025-02-11,SENSEX,ALPHA,CE,76800.0,4,286.31,214.73,393.67,264.57,THESIS_BROKEN,33.09,63.49,-1835.58
train,2025-02-12,NIFTY,GAMMA,PE,23100.0,2,129.89,97.42,178.6,150.1,THESIS_BROKEN,32.37,66.83,2931.96
train,2025-02-17,SENSEX,ALPHA,CE,75400.0,2,474.94,356.2,653.04,550.04,THESIS_BROKEN,31.47,65.06,2907.47
train,2025-02-18,SENSEX,ALPHA,CE,75400.0,4,283.49,212.62,389.8,327.55,THESIS_BROKEN,33.0,73.0,3418.96
train,2025-02-18,SENSEX,GAMMA,PE,76000.0,4,274.08,205.56,376.85,374.97,TARGET,32.7,80.14,7958.7
train,2025-02-18,NIFTY,ALPHA,CE,22800.0,2,177.76,133.32,244.42,243.2,TARGET,35.61,93.66,9686.41
train,2025-02-19,NIFTY,BETA,CE,22850.0,2,168.39,126.29,231.53,168.01,THESIS_BROKEN,34.99,72.01,-164.34
train,2025-02-19,NIFTY,BETA,CE,22850.0,2,163.15,122.36,224.33,223.21,TARGET,34.61,87.9,8886.54
train,2025-02-24,BANKNIFTY,GAMMA,PE,48700.0,6,352.22,264.17,484.3,424.77,THESIS_BROKEN,37.87,97.01,6394.21
train,2025-02-24,BANKEX,BETA,CE,55100.0,2,412.02,309.01,566.52,427.8,THESIS_BROKEN,33.84,71.98,841.23
train,2025-02-24,SENSEX,ALPHA,CE,74300.0,3,474.58,355.94,652.55,488.15,THESIS_BROKEN,35.4,78.8,699.58
train,2025-02-24,BANKEX,ALPHA,PE,55600.0,4,257.53,193.15,354.11,234.32,THESIS_BROKEN,36.41,76.6,-2898.15
train,2025-02-24,BANKNIFTY,ALPHA,CE,48300.0,5,443.87,332.9,610.32,552.72,THESIS_BROKEN,38.6,103.21,8021.98
train,2025-02-24,NIFTY,ALPHA,PE,22700.0,3,115.15,86.36,158.33,157.54,TARGET,35.28,91.68,9410.53
train,2025-02-24,SENSEX,GAMMA,PE,74700.0,6,256.78,192.59,353.08,251.24,THESIS_BROKEN,36.37,80.42,-782.37
train,2025-02-25,SENSEX,ALPHA,CE,74400.0,7,256.26,192.19,352.35,350.59,TARGET,38.49,116.1,13052.2
train,2025-02-27,NIFTY,ALPHA,CE,22400.0,4,121.62,91.21,167.22,166.39,TARGET,40.03,119.46,13271.48
train,2025-02-27,BANKNIFTY,ALPHA,CE,48700.0,16,174.86,131.14,240.43,130.49,STOP,42.5,83.75,-10774.98
train,2025-03-04,BANKEX,ALPHA,PE,55000.0,1,692.3,519.22,951.91,692.82,DAYLIGHT,32.21,62.77,-79.31
train,2025-03-03,NIFTY,ALPHA,CE,21900.0,2,195.62,146.72,268.98,231.34,THESIS_BROKEN,36.82,90.24,5229.96
train,2025-03-03,NIFTY,BETA,CE,22000.0,2,189.24,141.93,260.21,258.91,TARGET,36.38,98.17,10315.27
train,2025-03-03,NIFTY,BETA,CE,22000.0,3,176.0,132.0,242.0,214.92,THESIS_BROKEN,41.44,116.47,8599.09
train,2025-03-04,SENSEX,ALPHA,PE,73100.0,9,234.96,176.22,323.07,175.34,STOP,41.14,83.08,-10856.02
train,2025-03-04,SENSEX,ALPHA,PE,73100.0,10,214.41,160.81,294.82,160.0,STOP,41.39,83.91,-11006.71
train,2025-03-05,NIFTY,BETA,CE,22250.0,4,127.91,95.93,175.87,136.56,THESIS_BROKEN,40.88,102.27,2453.57
train,2025-03-07,SENSEX,GAMMA,PE,74600.0,5,388.08,291.06,533.61,458.25,THESIS_BROKEN,39.69,109.97,6867.07
train,2025-03-10,SENSEX,GAMMA,PE,74700.0,7,287.1,215.33,394.76,392.79,TARGET,40.27,127.24,14628.91
train,2025-03-11,SENSEX,ALPHA,PE,74100.0,10,233.9,175.43,321.62,320.01,TARGET,43.0,144.22,17033.96
train,2025-03-11,NIFTY,GAMMA,PE,22550.0,4,157.34,118.01,216.35,117.42,STOP,44.88,91.26,-12113.95
train,2025-03-13,SENSEX,ALPHA,CE,73800.0,5,409.55,307.16,563.13,408.35,THESIS_BROKEN,40.58,100.56,-261.54
train,2025-03-13,NIFTY,ALPHA,CE,22300.0,6,98.56,73.92,135.52,97.61,THESIS_BROKEN,43.57,107.96,-579.26
train,2025-03-17,SENSEX,ALPHA,CE,73800.0,6,351.91,263.93,483.88,359.59,THESIS_BROKEN,41.11,104.92,775.69
train,2025-03-17,NIFTY,BETA,CE,22350.0,3,164.82,123.62,226.63,225.5,TARGET,40.31,121.03,13490.72
train,2025-03-18,NIFTY,BETA,CE,22650.0,4,162.27,121.7,223.12,222.01,TARGET,45.52,151.5,17723.89
train,2025-03-20,NIFTY,ALPHA,PE,23200.0,6,107.27,80.45,147.5,106.86,THESIS_BROKEN,45.35,115.95,-345.35
train,2025-03-25,BANKEX,ALPHA,PE,60100.0,6,277.6,208.2,381.69,207.16,STOP,44.32,93.88,-12817.4
train,2025-03-21,SENSEX,ALPHA,PE,77200.0,7,357.19,267.89,491.14,376.41,THESIS_BROKEN,44.33,122.92,2523.06
train,2025-03-25,BANKEX,ALPHA,PE,60100.0,8,213.97,160.48,294.21,292.74,TARGET,44.89,156.01,18703.53
train,2025-03-21,SENSEX,ALPHA,PE,77200.0,8,355.78,266.84,489.2,486.76,TARGET,47.21,170.38,20738.09
train,2025-03-25,BANKEX,ALPHA,CE,59400.0,8,237.51,178.13,326.58,324.95,TARGET,47.24,170.59,20766.36
train,2025-03-25,BANKEX,ALPHA,CE,59400.0,9,236.24,177.18,324.82,176.29,STOP,50.04,113.31,-16348.47
train,2025-03-25,BANKEX,ALPHA,CE,59400.0,9,214.63,160.97,295.12,160.17,STOP,47.63,105.1,-14857.7
train,2025-03-25,BANKEX,ALPHA,CE,59300.0,7,251.94,188.96,346.42,240.49,THESIS_BROKEN,45.54,118.77,-2569.34
train,2025-03-25,BANKEX,ALPHA,CE,59400.0,8,225.5,169.12,310.06,308.51,TARGET,46.04,163.13,19713.75
train,2025-03-25,BANKEX,ALPHA,CE,59400.0,9,217.8,163.35,299.48,297.98,TARGET,47.98,175.23,21424.75
train,2025-03-25,BANKEX,ALPHA,CE,59400.0,9,234.65,175.99,322.65,175.11,STOP,49.87,112.71,-16239.18
train,2025-03-24,SENSEX,ALPHA,PE,78100.0,9,352.4,264.3,484.54,416.51,THESIS_BROKEN,49.9,164.9,11325.18
train,2025-03-25,SENSEX,BETA,CE,78300.0,10,340.08,255.06,467.6,253.78,STOP,51.8,119.26,-17429.92
train,2025-03-25,FINNIFTY,BETA,CE,25050.0,8,196.59,147.44,270.31,146.71,STOP,51.93,113.76,-16128.96
train,2025-03-25,SENSEX,ALPHA,CE,77900.0,12,247.24,185.43,339.95,184.5,STOP,48.2,107.05,-15211.92
train,2025-03-25,NIFTY,GAMMA,PE,23800.0,5,140.58,105.44,193.3,192.33,TARGET,47.34,162.12,19197.17
train,2025-03-26,FINNIFTY,ALPHA,CE,24900.0,8,179.39,134.54,246.66,186.31,THESIS_BROKEN,49.46,138.1,2028.68
train,2025-03-26,BANKNIFTY,ALPHA,CE,51300.0,11,370.26,277.69,509.11,356.41,THESIS_BROKEN,51.12,136.53,-2473.07
train,2025-03-26,NIFTY,ALPHA,CE,23400.0,5,161.48,121.11,222.03,220.92,TARGET,50.87,182.69,22058.25
train,2025-03-26,BANKNIFTY,BETA,CE,51000.0,12,355.92,266.94,489.38,353.77,THESIS_BROKEN,52.45,145.89,-584.22
train,2025-03-27,FINNIFTY,ALPHA,PE,25100.0,16,99.13,74.35,136.31,98.95,THESIS_BROKEN,52.17,145.21,-312.1
train,2025-03-28,NIFTY,ALPHA,PE,23700.0,5,161.66,121.24,222.28,221.17,TARGET,50.91,182.87,22082.33
train,2025-03-28,NIFTY,ALPHA,CE,23400.0,4,196.24,147.18,269.83,192.23,THESIS_BROKEN,50.12,134.36,-1386.28
train,2025-03-28,NIFTY,GAMMA,PE,23600.0,5,162.1,121.57,222.88,159.85,THESIS_BROKEN,50.97,138.71,-1033.15
train,2025-03-28,SENSEX,BETA,CE,77300.0,9,358.91,269.18,493.5,321.53,THESIS_BROKEN,50.39,132.68,-6910.35
train,2025-04-01,SENSEX,ALPHA,CE,75900.0,16,209.26,156.95,287.74,156.16,STOP,51.37,117.78,-17161.39
train,2025-04-03,NIFTY,ALPHA,PE,23400.0,8,107.05,80.29,147.2,146.46,TARGET,52.53,192.36,23400.22
train,2025-04-03,NIFTY,ALPHA,PE,23400.0,8,110.88,83.16,152.46,151.7,TARGET,53.57,198.4,24238.65
train,2025-04-03,NIFTY,ALPHA,CE,23150.0,10,95.04,71.28,130.68,130.03,TARGET,55.71,210.88,25973.36
train,2025-04-08,SENSEX,BETA,CE,74300.0,13,311.26,233.44,427.98,425.84,TARGET,57.16,232.27,29501.66
train,2025-04-15,NIFTY,ALPHA,CE,23200.0,7,160.56,120.42,220.76,219.66,TARGET,61.57,245.08,30723.31
train,2025-04-15,SENSEX,ALPHA,CE,76600.0,27,174.2,130.65,239.52,129.99,STOP,62.6,155.89,-24087.7
train,2025-04-22,BANKEX,BETA,CE,63700.0,4,614.64,460.98,845.12,744.46,THESIS_BROKEN,54.18,191.96,15332.62
train,2025-04-21,NIFTY,ALPHA,PE,24300.0,7,171.29,128.47,235.53,200.0,THESIS_BROKEN,64.11,225.23,14779.74
train,2025-04-21,SENSEX,BETA,CE,79300.0,12,384.69,288.52,528.95,428.45,THESIS_BROKEN,61.89,217.39,10221.92
train,2025-04-21,SENSEX,GAMMA,PE,79700.0,13,375.36,281.52,516.13,513.54,TARGET,64.08,275.24,35587.71
train,2025-04-22,NIFTY,ALPHA,PE,24300.0,9,162.45,121.84,223.37,222.25,TARGET,72.99,311.7,39981.1
train,2025-04-22,NIFTY,ALPHA,PE,24300.0,11,142.65,106.99,196.14,195.16,TARGET,76.61,332.81,42913.22
train,2025-04-22,NIFTY,ALPHA,PE,24300.0,10,146.12,109.59,200.92,178.95,THESIS_BROKEN,72.97,281.34,24265.75
train,2025-04-22,NIFTY,ALPHA,PE,24300.0,10,145.55,109.16,200.13,176.71,THESIS_BROKEN,72.77,278.12,23019.11
train,2025-04-23,BANKNIFTY,BETA,CE,55100.0,27,290.8,218.1,399.84,397.85,TARGET,76.65,333.03,42945.28
train,2025-04-24,NIFTY,ALPHA,PE,24350.0,17,92.4,69.3,127.05,126.41,TARGET,76.67,333.14,42959.0
train,2025-04-29,NIFTY,ALPHA,CE,24200.0,12,123.55,92.66,169.88,169.03,TARGET,73.69,315.76,40544.87
train,2025-05-02,NIFTY,GAMMA,PE,24400.0,7,212.26,159.19,291.85,186.46,THESIS_BROKEN,73.8,211.6,-13826.73
train,2025-05-05,SENSEX,GAMMA,PE,81100.0,16,357.68,268.26,491.8,440.49,THESIS_BROKEN,71.06,289.25,26139.05
train,2025-05-05,NIFTY,ALPHA,PE,24600.0,10,158.8,119.1,218.34,217.25,TARGET,77.25,336.51,43428.82
train,2025-05-05,NIFTY,ALPHA,PE,24600.0,10,153.65,115.24,211.27,181.99,THESIS_BROKEN,75.52,285.71,20891.9
train,2025-05-05,NIFTY,ALPHA,PE,24600.0,10,146.43,109.82,201.34,200.34,TARGET,73.06,312.15,40043.75
train,2025-05-06,SENSEX,ALPHA,CE,80400.0,25,232.01,174.01,319.02,173.14,STOP,71.71,186.76,-29694.99
train,2025-05-06,SENSEX,ALPHA,CE,80400.0,25,234.83,176.12,322.89,175.24,STOP,72.29,188.74,-30054.83
train,2025-05-06,NIFTY,GAMMA,PE,24500.0,13,118.4,88.8,162.81,152.19,THESIS_BROKEN,75.6,308.56,32552.56
train,2025-05-07,NIFTY,ALPHA,PE,24500.0,11,138.42,103.82,190.33,189.38,TARGET,75.03,323.65,41641.12
train,2025-05-13,SENSEX,ALPHA,CE,81400.0,21,281.42,211.07,386.96,210.01,STOP,72.62,189.85,-30255.23
train,2025-05-14,NIFTY,GAMMA,PE,24800.0,9,167.9,125.93,230.87,176.76,THESIS_BROKEN,74.65,252.74,5651.59
train,2025-05-15,FINNIFTY,BETA,CE,25900.0,7,389.18,291.88,535.12,411.08,THESIS_BROKEN,72.68,244.66,5815.85
train,2025-05-15,NIFTY,BETA,CE,24500.0,13,117.57,88.18,161.66,160.85,TARGET,75.22,324.78,41797.73
train,2025-05-15,NIFTY,BETA,CE,24550.0,14,114.14,85.6,156.94,156.15,TARGET,77.59,338.48,43701.06
train,2025-05-19,NIFTY,ALPHA,CE,24900.0,7,205.35,154.01,282.35,243.97,THESIS_BROKEN,72.16,269.58,19936.91
train,2025-05-19,SENSEX,ALPHA,CE,81800.0,14,406.74,305.05,559.26,420.64,THESIS_BROKEN,70.82,245.58,3575.67
train,2025-05-20,SENSEX,ALPHA,CE,81900.0,24,241.47,181.1,332.02,180.2,STOP,71.67,186.62,-29669.58
train,2025-05-20,SENSEX,GAMMA,PE,82200.0,23,251.15,188.36,345.33,343.61,TARGET,71.52,321.49,42136.44
train,2025-05-21,NIFTY,GAMMA,PE,24900.0,9,168.48,126.36,231.65,192.88,THESIS_BROKEN,74.82,273.63,16124.76
train,2025-05-27,BANKEX,ALPHA,CE,62400.0,9,411.44,308.58,565.74,307.04,STOP,69.66,179.83,-28438.55
train,2025-05-27,BANKEX,ALPHA,PE,63200.0,12,319.31,239.48,439.05,436.85,TARGET,71.27,320.0,41925.02
train,2025-05-22,NIFTY,ALPHA,CE,24400.0,15,105.56,79.17,145.14,144.41,TARGET,77.09,335.6,43302.34
train,2025-05-22,NIFTY,ALPHA,CE,24400.0,15,100.28,75.21,137.88,137.19,TARGET,74.4,319.99,41133.98
