split,day,underlying,protocol,opt,strike,lots,entry,stop,target,exit_price,action,entry_charge,exit_charge,net
train,2025-02-11,SENSEX,ALPHA,CE,76800.0,2,286.31,214.73,393.67,264.57,THESIS_BROKEN,28.34,43.54,-941.38
train,2025-02-12,NIFTY,GAMMA,PE,23100.0,1,129.89,97.42,178.6,150.1,THESIS_BROKEN,27.98,45.22,1442.38
train,2025-02-17,SENSEX,ALPHA,CE,75400.0,1,474.94,356.2,653.04,550.04,THESIS_BROKEN,27.54,44.34,1430.12
train,2025-02-18,SENSEX,ALPHA,CE,75400.0,2,283.49,212.62,389.8,327.55,THESIS_BROKEN,28.31,48.29,1685.88
train,2025-02-18,SENSEX,GAMMA,PE,76000.0,3,274.08,205.56,376.85,374.97,TARGET,30.41,66.0,5957.24
train,2025-02-18,NIFTY,ALPHA,CE,22800.0,1,177.76,133.32,244.42,243.2,TARGET,29.61,58.63,4819.6
train,2025-02-19,NIFTY,BETA,CE,22850.0,1,168.39,126.29,231.53,168.01,THESIS_BROKEN,29.28,47.79,-105.74
train,2025-02-19,NIFTY,BETA,CE,22850.0,1,163.15,122.36,224.33,223.21,TARGET,29.11,55.74,4419.67
train,2025-02-24,BANKNIFTY,GAMMA,PE,48700.0,4,352.22,264.17,484.3,424.77,THESIS_BROKEN,33.12,72.55,4247.06
train,2025-02-24,BANKEX,BETA,CE,55100.0,2,412.02,309.01,566.52,427.8,THESIS_BROKEN,33.84,71.98,841.23
train,2025-02-24,SENSEX,ALPHA,CE,74300.0,3,474.58,355.94,652.55,488.15,THESIS_BROKEN,35.4,78.8,699.58
train,2025-02-24,BANKEX,ALPHA,PE,55600.0,3,257.53,193.15,354.11,234.32,THESIS_BROKEN,33.21,63.34,-2185.4
train,2025-02-24,BANKNIFTY,ALPHA,CE,48300.0,4,443.87,332.9,610.32,552.72,THESIS_BROKEN,35.6,87.3,6408.13
train,2025-02-24,SENSEX,GAMMA,PE,74700.0,6,256.78,192.59,353.08,251.24,THESIS_BROKEN,36.37,80.42,-782.37
train,2025-02-25,SENSEX,ALPHA,CE,74400.0,6,256.26,192.19,352.35,350.59,TARGET,36.34,102.89,11180.88
train,2025-02-27,NIFTY,ALPHA,CE,22400.0,4,121.62,91.21,167.22,166.39,TARGET,40.03,119.46,13271.48
train,2025-02-27,BANKNIFTY,ALPHA,CE,48700.0,17,174.86,131.14,240.43,130.49,STOP,43.68,87.5,-11445.46
train,2025-03-04,BANKEX,ALPHA,PE,55000.0,1,692.3,519.22,951.91,692.82,DAYLIGHT,32.21,62.77,-79.31
train,2025-03-03,NIFTY,ALPHA,CE,21900.0,2,195.62,146.72,268.98,231.34,THESIS_BROKEN,36.82,90.24,5229.96
train,2025-03-03,NIFTY,BETA,CE,22000.0,3,189.24,141.93,260.21,258.91,TARGET,42.78,135.48,15496.47
train,2025-03-03,NIFTY,BETA,CE,22000.0,3,176.0,132.0,242.0,214.92,THESIS_BROKEN,41.44,116.47,8599.09
train,2025-03-04,SENSEX,ALPHA,PE,73100.0,12,234.96,176.22,323.07,175.34,STOP,46.99,102.91,-14458.96
train,2025-03-04,SENSEX,ALPHA,PE,73100.0,11,214.41,160.81,294.82,160.0,STOP,43.17,89.95,-12102.67
train,2025-03-05,NIFTY,BETA,CE,22250.0,4,127.91,95.93,175.87,136.56,THESIS_BROKEN,40.88,102.27,2453.57
train,2025-03-07,SENSEX,GAMMA,PE,74600.0,5,388.08,291.06,533.61,458.25,THESIS_BROKEN,39.69,109.97,6867.07
train,2025-03-10,SENSEX,GAMMA,PE,74700.0,8,287.1,215.33,394.76,392.79,TARGET,42.66,142.05,16725.48
train,2025-03-11,SENSEX,ALPHA,PE,74100.0,12,233.9,175.43,321.62,320.01,TARGET,46.87,168.35,20450.2
train,2025-03-11,NIFTY,GAMMA,PE,22550.0,5,157.34,118.01,216.35,117.42,STOP,50.18,108.15,-15130.6
train,2025-03-13,SENSEX,ALPHA,CE,73800.0,7,409.55,307.16,563.13,408.35,THESIS_BROKEN,47.37,131.34,-347.27
train,2025-03-13,NIFTY,ALPHA,CE,22300.0,8,98.56,73.92,135.52,97.61,THESIS_BROKEN,50.24,136.08,-756.62
train,2025-03-17,SENSEX,ALPHA,CE,73800.0,8,351.91,263.93,483.88,359.59,THESIS_BROKEN,46.95,132.04,1049.97
train,2025-03-17,NIFTY,BETA,CE,22350.0,4,164.82,123.62,226.63,225.5,TARGET,45.87,153.52,18003.36
train,2025-03-18,NIFTY,BETA,CE,22650.0,5,162.27,121.7,223.12,222.01,TARGET,51.01,183.48,22166.65
train,2025-03-20,NIFTY,ALPHA,PE,23200.0,10,107.27,80.45,147.5,106.86,THESIS_BROKEN,59.83,177.52,-544.1
train,2025-03-25,BANKEX,ALPHA,PE,60100.0,10,277.6,208.2,381.69,207.16,STOP,58.14,140.73,-21330.87
train,2025-03-21,SENSEX,ALPHA,PE,77200.0,9,357.19,267.89,491.14,376.41,THESIS_BROKEN,50.26,151.3,3257.41
train,2025-03-25,BANKEX,ALPHA,PE,60100.0,11,213.97,160.48,294.21,292.74,TARGET,52.88,205.68,25735.03
train,2025-03-21,SENSEX,ALPHA,PE,77200.0,12,355.78,266.84,489.2,486.76,TARGET,59.01,243.78,31130.73
train,2025-03-25,BANKEX,ALPHA,CE,59400.0,14,237.51,178.13,326.58,324.95,TARGET,64.96,280.83,36376.53
train,2025-03-25,BANKEX,ALPHA,CE,59400.0,14,236.24,177.18,324.82,176.29,STOP,64.75,163.13,-25404.73
train,2025-03-25,BANKEX,ALPHA,CE,59400.0,15,214.63,160.97,295.12,160.17,STOP,63.66,159.43,-24731.38
train,2025-03-25,BANKEX,ALPHA,CE,59300.0,13,251.94,188.96,346.42,240.49,THESIS_BROKEN,64.35,200.36,-4731.19
train,2025-03-25,BANKEX,ALPHA,CE,59400.0,14,225.5,169.12,310.06,308.51,TARGET,62.87,267.8,34534.45
train,2025-03-25,BANKEX,ALPHA,CE,59400.0,15,217.8,163.35,299.48,297.98,TARGET,64.24,276.31,35739.38
train,2025-03-25,BANKEX,ALPHA,CE,59400.0,14,234.65,175.99,322.65,175.11,STOP,64.47,162.21,-25234.72
train,2025-03-24,SENSEX,ALPHA,PE,78100.0,14,352.4,264.3,484.54,416.51,THESIS_BROKEN,64.52,243.39,17643.17
train,2025-03-25,SENSEX,BETA,CE,78300.0,14,340.08,255.06,467.6,253.78,STOP,63.1,157.52,-24383.02
train,2025-03-25,FINNIFTY,BETA,CE,25050.0,12,196.59,147.44,270.31,146.71,STOP,66.1,158.84,-24169.85
train,2025-03-25,SENSEX,ALPHA,CE,77900.0,20,247.24,185.43,339.95,184.5,STOP,64.61,162.68,-25321.74
train,2025-03-25,NIFTY,GAMMA,PE,23800.0,8,140.58,105.44,193.3,192.33,TARGET,61.59,245.22,30743.8
train,2025-03-26,FINNIFTY,ALPHA,CE,24900.0,13,179.39,134.54,246.66,186.31,THESIS_BROKEN,65.62,209.65,3326.12
train,2025-03-26,BANKNIFTY,ALPHA,CE,51300.0,18,370.26,277.69,509.11,356.41,THESIS_BROKEN,68.63,208.41,-4016.81
train,2025-03-26,NIFTY,ALPHA,CE,23400.0,8,161.48,121.11,222.03,220.92,TARGET,67.24,278.15,35321.5
train,2025-03-26,BANKNIFTY,BETA,CE,51000.0,18,355.92,266.94,489.38,353.77,THESIS_BROKEN,66.88,207.05,-852.74
train,2025-03-27,FINNIFTY,ALPHA,PE,25100.0,25,99.13,74.35,136.31,98.95,THESIS_BROKEN,68.26,213.63,-461.14
train,2025-03-28,NIFTY,ALPHA,PE,23700.0,8,161.66,121.24,222.28,221.17,TARGET,67.29,278.43,35360.05
train,2025-03-28,NIFTY,ALPHA,CE,23400.0,6,196.24,147.18,269.83,192.23,THESIS_BROKEN,63.37,189.73,-2055.8
train,2025-03-28,NIFTY,GAMMA,PE,23600.0,8,162.1,121.57,222.88,159.85,THESIS_BROKEN,67.42,207.79,-1624.76
train,2025-03-28,SENSEX,BETA,CE,77300.0,13,358.91,269.18,493.5,321.53,THESIS_BROKEN,62.3,181.16,-9960.64
train,2025-04-01,SENSEX,ALPHA,CE,75900.0,23,209.26,156.95,287.74,156.16,STOP,63.52,158.99,-24648.85
train,2025-04-03,NIFTY,ALPHA,PE,23400.0,12,107.05,80.29,147.2,146.46,TARGET,67.0,276.73,35123.94
train,2025-04-03,NIFTY,ALPHA,PE,23400.0,12,110.88,83.16,152.46,151.7,TARGET,68.55,285.8,36381.58
train,2025-04-03,NIFTY,ALPHA,CE,23150.0,14,95.04,71.28,130.68,130.03,TARGET,68.55,285.8,36381.58
train,2025-04-08,SENSEX,BETA,CE,74300.0,16,311.26,233.44,427.98,425.84,TARGET,64.9,280.43,36320.63
train,2025-04-15,NIFTY,ALPHA,CE,23200.0,8,160.56,120.42,220.76,219.66,TARGET,67.0,276.7,35119.11
train,2025-04-15,SENSEX,ALPHA,CE,76600.0,28,174.2,130.65,239.52,129.99,STOP,64.05,160.79,-24978.09
train,2025-04-22,BANKEX,BETA,CE,63700.0,5,614.64,460.98,845.12,744.46,THESIS_BROKEN,61.83,234.05,19177.57
train,2025-04-21,NIFTY,ALPHA,PE,24300.0,7,171.29,128.47,235.53,200.0,THESIS_BROKEN,64.11,225.23,14779.74
train,2025-04-21,SENSEX,BETA,CE,79300.0,12,384.69,288.52,528.95,428.45,THESIS_BROKEN,61.89,217.39,10221.92
train,2025-04-21,SENSEX,GAMMA,PE,79700.0,13,375.36,281.52,516.13,513.54,TARGET,64.08,275.24,35587.71
train,2025-04-22,NIFTY,ALPHA,PE,24300.0,8,162.45,121.84,223.37,222.25,TARGET,67.5,279.68,35533.52
train,2025-04-22,NIFTY,ALPHA,PE,24300.0,9,142.65,106.99,196.14,195.16,TARGET,66.98,276.59,35102.23
train,2025-04-22,NIFTY,ALPHA,PE,24300.0,9,146.12,109.59,200.92,178.95,THESIS_BROKEN,68.03,255.57,21834.46
train,2025-04-22,NIFTY,ALPHA,PE,24300.0,9,145.55,109.16,200.13,176.71,THESIS_BROKEN,67.86,252.67,20712.47
train,2025-04-23,BANKNIFTY,BETA,CE,55100.0,22,290.8,218.1,399.84,397.85,TARGET,66.83,275.73,34983.7
train,2025-04-24,NIFTY,ALPHA,PE,24350.0,14,92.4,69.3,127.05,126.41,TARGET,67.31,278.5,35369.68
train,2025-04-29,NIFTY,ALPHA,CE,24200.0,10,123.55,92.66,169.88,169.03,TARGET,65.33,267.06,33779.54
train,2025-05-02,NIFTY,GAMMA,PE,24400.0,6,212.26,159.19,291.85,186.46,THESIS_BROKEN,66.64,184.73,-11858.22
train,2025-05-05,SENSEX,GAMMA,PE,81100.0,13,357.68,268.26,491.8,440.49,THESIS_BROKEN,62.16,239.44,21229.13
train,2025-05-05,NIFTY,ALPHA,PE,24600.0,8,158.8,119.1,218.34,217.25,TARGET,66.53,273.93,34733.61
train,2025-05-05,NIFTY,ALPHA,PE,24600.0,8,153.65,115.24,211.27,181.99,THESIS_BROKEN,65.12,233.3,16704.08
train,2025-05-05,NIFTY,ALPHA,PE,24600.0,9,146.43,109.82,201.34,200.34,TARGET,68.12,283.3,36034.64
train,2025-05-06,SENSEX,ALPHA,CE,80400.0,21,232.01,174.01,319.02,173.14,STOP,64.01,160.65,-24951.34
train,2025-05-06,SENSEX,ALPHA,CE,80400.0,21,234.83,176.12,322.89,175.24,STOP,64.5,162.31,-25253.6
train,2025-05-06,NIFTY,GAMMA,PE,24500.0,11,118.4,88.8,162.81,152.19,THESIS_BROKEN,67.6,264.72,27537.21
train,2025-05-07,NIFTY,ALPHA,PE,24500.0,9,138.42,103.82,190.33,189.38,TARGET,65.68,269.1,34061.42
train,2025-05-13,SENSEX,ALPHA,CE,81400.0,17,281.42,211.07,386.96,210.01,STOP,63.28,158.18,-24501.32
